TF,target,importance,corr_sign,signed_importance,validated
TNFRSF8,CD27,0.4379125259826337,-1.0,-0.4379125259826337,False
BATF,TNFRSF14,0.4359707235714692,-1.0,-0.4359707235714692,False
TNFRSF18,FOXQ1,0.4332026053208941,1.0,0.4332026053208941,False
CD27,DEPDC7,0.4318275349943883,1.0,0.4318275349943883,False
CD27,LAT2,0.4317674494774733,-1.0,-0.4317674494774733,False
IL2RG,CD28,0.4316054671776292,1.0,0.4316054671776292,False
TNFRSF14,SLA2,0.4316041211401802,1.0,0.4316041211401802,False
CD28,TNFRSF1B,0.4297431861292407,1.0,0.4297431861292407,False
BATF,TNFRSF9,0.4292633506676685,1.0,0.4292633506676685,False
TNFRSF4,P2RY14,0.4272870975034596,1.0,0.4272870975034596,False
TNFRSF18,LTBR,0.42291312165771,1.0,0.42291312165771,False
TNFRSF8,EMP3,0.4227283967035808,-1.0,-0.4227283967035808,False
CD27,IL9R,0.4209180865883566,-1.0,-0.4209180865883566,False
CD28,INPPL1,0.4195416183089259,-1.0,-0.4195416183089259,False
TNFRSF9,IRF4,0.4189700421392159,1.0,0.4189700421392159,True
TNFRSF8,RELA,0.4182587417863899,-1.0,-0.4182587417863899,False
ICOS,PAPOLG,0.4169869879722609,-1.0,-0.4169869879722609,False
MUC1,CD28,0.4167888385332673,-1.0,-0.4167888385332673,True
CD28,FOSL1,0.4153341610678686,1.0,0.4153341610678686,False
CD27,TNFRSF12A,0.4130828083428287,-1.0,-0.4130828083428287,False
TNFRSF8,IL2RB,0.4115641516676905,1.0,0.4115641516676905,False
CD226,BATF,0.4110069967269906,-1.0,-0.4110069967269906,False
CD226,NOTCH1,0.4092824671371305,-1.0,-0.4092824671371305,False
CD2,FOSB,0.40915276611566,1.0,0.40915276611566,True
CD28,LAT,0.406071184376351,1.0,0.406071184376351,True
LAT,TNFRSF14,0.4045453568252844,1.0,0.4045453568252844,False
CD2,ID2,0.4041693464690706,1.0,0.4041693464690706,False
TNFRSF9,LHX6,0.4030665741503235,-1.0,-0.4030665741503235,False
TNFRSF14,OTUD7A,0.4017103197124885,1.0,0.4017103197124885,False
PRDM1,CD28,0.3995544312326195,1.0,0.3995544312326195,False
CD27,TNFRSF25,0.3973658722705736,-1.0,-0.3973658722705736,True
ICOS,APOBEC3C,0.3968768128401718,-1.0,-0.3968768128401718,False
CD28,VAV1,0.3950268336748921,1.0,0.3950268336748921,True
TNFRSF9,CEACAM1,0.3949381935836202,1.0,0.3949381935836202,False
ICOS,CD40,0.3921767230825055,-1.0,-0.3921767230825055,False
SLA2,TNFRSF25,0.3909880244768879,1.0,0.3909880244768879,False
TNFRSF18,IL2RB,0.3897526478343988,1.0,0.3897526478343988,False
PRDM1,TNFRSF25,0.3883735104971191,1.0,0.3883735104971191,True
ICOS,EOMES,0.3851319182533085,-1.0,-0.3851319182533085,False
ICOS,PRKD2,0.3821861727540035,-1.0,-0.3821861727540035,False
NLRC3,TNFRSF9,0.3818623293978524,-1.0,-0.3818623293978524,True
TNFRSF4,MUC1,0.3780269363420298,-1.0,-0.3780269363420298,False
TNFRSF25,LAT,0.3761661842599297,1.0,0.3761661842599297,False
TNFRSF14,ABCB10,0.3760049958411861,-1.0,-0.3760049958411861,False
TNFRSF18,WT1,0.3757252722836977,-1.0,-0.3757252722836977,False
TNFRSF9,TBX21,0.3746566803686437,1.0,0.3746566803686437,True
CD2,ARHGDIB,0.3737800974334021,-1.0,-0.3737800974334021,False
CD28,P2RY14,0.3717623848294417,-1.0,-0.3717623848294417,False
CD2,GATA3,0.3709035907587114,1.0,0.3709035907587114,False
TAGAP,TNFRSF25,0.3694597904568826,1.0,0.3694597904568826,False
TNFRSF8,CNR2,0.3687335686593739,1.0,0.3687335686593739,False
